,Color,Block size,Num. coeffs,Distance measure,Feature vec. dim.,MAP@1,MAP@5
230,L,8,16,Cosine,16384.0,0.9333333333333333,0.9444444444444444
231,L,8,16,Pearson,16384.0,0.9333333333333333,0.9444444444444444
232,L,8,8,L1,8192.0,0.7333333333333333,0.788888888888889
233,L,8,8,L2,8192.0,0.8,0.8333333333333334
234,L,8,8,Cosine,8192.0,0.9666666666666667,0.9666666666666667
235,L,8,8,Pearson,8192.0,0.9666666666666667,0.9666666666666667
236,L,8,4,L1,4096.0,0.8,0.825
237,L,8,4,L2,4096.0,0.8,0.8333333333333334
238,L,8,4,Cosine,4096.0,0.9666666666666667,0.975
239,L,8,4,Pearson,4096.0,0.9666666666666667,0.975
240,V,256,64,L1,64.0,0.9666666666666667,0.975
241,V,256,64,L2,64.0,0.7333333333333333,0.7733333333333333
242,V,256,64,Cosine,64.0,0.9666666666666667,0.9666666666666667
243,V,256,64,Pearson,64.0,0.9666666666666667,0.9666666666666667
244,V,256,32,L1,32.0,0.9,0.9299999999999999
245,V,256,32,L2,32.0,0.6333333333333333,0.6944444444444445
246,V,256,32,Cosine,32.0,0.9333333333333333,0.95
247,V,256,32,Pearson,32.0,0.9333333333333333,0.95
248,V,256,16,L1,16.0,0.7666666666666667,0.8138888888888889
249,V,256,16,L2,16.0,0.6,0.6416666666666667
250,V,256,16,Cosine,16.0,0.8666666666666667,0.9111111111111111
251,V,256,16,Pearson,16.0,0.9,0.9277777777777777
252,V,256,8,L1,8.0,0.6333333333333333,0.6944444444444444
253,V,256,8,L2,8.0,0.43333333333333335,0.5222222222222223
254,V,256,8,Cosine,8.0,0.8333333333333334,0.8694444444444444
255,V,256,8,Pearson,8.0,0.7,0.8055555555555555
256,V,256,4,L1,4.0,0.2,0.31333333333333335
257,V,256,4,L2,4.0,0.2,0.2833333333333334
258,V,256,4,Cosine,4.0,0.26666666666666666,0.38722222222222225
259,V,256,4,Pearson,4.0,0.03333333333333333,0.12222222222222222
260,V,128,64,L1,256.0,0.9333333333333333,0.9566666666666667
261,V,128,64,L2,256.0,0.8666666666666667,0.8666666666666667
262,V,128,64,Cosine,256.0,0.9666666666666667,0.975
263,V,128,64,Pearson,256.0,0.9666666666666667,0.975
264,V,128,32,L1,128.0,0.9,0.9316666666666666
265,V,128,32,L2,128.0,0.8333333333333334,0.8444444444444446
266,V,128,32,Cosine,128.0,0.9666666666666667,0.9666666666666667
267,V,128,32,Pearson,128.0,0.9666666666666667,0.9666666666666667
268,V,128,16,L1,64.0,0.9,0.9194444444444445
269,V,128,16,L2,64.0,0.7333333333333333,0.7611111111111111
270,V,128,16,Cosine,64.0,0.9666666666666667,0.9666666666666667
271,V,128,16,Pearson,64.0,0.9666666666666667,0.9666666666666667
272,V,128,8,L1,32.0,0.8333333333333334,0.8577777777777779
273,V,128,8,L2,32.0,0.6333333333333333,0.6833333333333333
274,V,128,8,Cosine,32.0,0.9333333333333333,0.95
275,V,128,8,Pearson,32.0,0.9333333333333333,0.95
276,V,128,4,L1,16.0,0.6333333333333333,0.6777777777777778
277,V,128,4,L2,16.0,0.5666666666666667,0.6133333333333333
278,V,128,4,Cosine,16.0,0.9,0.925
