Color,Rescale,Radius,Points,Method,Blocks,Distance,MAP@1,MAP@5
gray,True,1,8,uniform,16,intersection,0.3333333333333333,0.3483333333333333
gray,True,1,8,uniform,16,correlation,0.3,0.3416666666666667
gray,True,1,8,uniform,16,bhattacharyya,0.3,0.3305555555555555
gray,True,1,8,uniform,64,intersection,0.4666666666666667,0.4833333333333333
gray,True,1,8,uniform,64,correlation,0.5,0.5333333333333333
gray,True,1,8,uniform,64,bhattacharyya,0.4666666666666667,0.4944444444444444
gray,True,2,10,default,1,intersection,0.4333333333333333,0.5011111111111111
gray,True,2,10,default,1,correlation,0.4,0.45
gray,True,2,10,default,1,bhattacharyya,0.5,0.5427777777777777
gray,True,2,10,default,4,intersection,0.7,0.736111111111111
gray,True,2,10,default,4,correlation,0.6666666666666666,0.7161111111111111
gray,True,2,10,default,4,bhattacharyya,0.6666666666666666,0.7333333333333333
gray,True,2,10,default,16,intersection,0.9,0.9333333333333332
gray,True,2,10,default,16,correlation,0.8666666666666667,0.9333333333333332
gray,True,2,10,default,16,bhattacharyya,0.8,0.8444444444444446
gray,True,2,10,default,64,intersection,1.0,1.0
gray,True,2,10,default,64,correlation,1.0,1.0
gray,True,2,10,default,64,bhattacharyya,1.0,1.0
gray,True,2,10,ror,1,intersection,0.1333333333333333,0.1777777777777777
gray,True,2,10,ror,1,correlation,0.1333333333333333,0.1733333333333333
gray,True,2,10,ror,1,bhattacharyya,0.1666666666666666,0.2133333333333333
gray,True,2,10,ror,4,intersection,0.3333333333333333,0.3583333333333333
gray,True,2,10,ror,4,correlation,0.3333333333333333,0.375
gray,True,2,10,ror,4,bhattacharyya,0.3,0.375
gray,True,2,10,ror,16,intersection,0.4666666666666667,0.5
gray,True,2,10,ror,16,correlation,0.4666666666666667,0.53
gray,True,2,10,ror,16,bhattacharyya,0.5,0.5111111111111112
gray,True,2,10,ror,64,intersection,0.7,0.75
gray,True,2,10,ror,64,correlation,0.7,0.7666666666666667
gray,True,2,10,ror,64,bhattacharyya,0.6333333333333333,0.6611111111111111
gray,True,2,10,uniform,1,intersection,0.1,0.115
gray,True,2,10,uniform,1,correlation,0.1,0.1261111111111111
gray,True,2,10,uniform,1,bhattacharyya,0.1333333333333333,0.1583333333333333
gray,True,2,10,uniform,4,intersection,0.3,0.3177777777777777
gray,True,2,10,uniform,4,correlation,0.2666666666666666,0.2944444444444444
gray,True,2,10,uniform,4,bhattacharyya,0.3333333333333333,0.3583333333333333
gray,True,2,10,uniform,16,intersection,0.4333333333333333,0.4722222222222222
gray,True,2,10,uniform,16,correlation,0.4666666666666667,0.5666666666666667
gray,True,2,10,uniform,16,bhattacharyya,0.4666666666666667,0.4944444444444444
gray,True,2,10,uniform,64,intersection,0.6333333333333333,0.6694444444444444
gray,True,2,10,uniform,64,correlation,0.7333333333333333,0.7666666666666667
gray,True,2,10,uniform,64,bhattacharyya,0.6,0.6527777777777778
gray,True,3,12,default,1,intersection,0.6666666666666666,0.7166666666666667
gray,True,3,12,default,1,correlation,0.6,0.6511111111111111
gray,True,3,12,default,1,bhattacharyya,0.7333333333333333,0.7694444444444445
gray,True,3,12,default,4,intersection,0.8666666666666667,0.9083333333333332
gray,True,3,12,default,4,correlation,0.8333333333333334,0.8955555555555555
gray,True,3,12,default,4,bhattacharyya,0.8666666666666667,0.89
gray,True,3,12,default,16,intersection,1.0,1.0
gray,True,3,12,default,16,correlation,0.9666666666666668,0.9666666666666668
gray,True,3,12,default,16,bhattacharyya,1.0,1.0
gray,True,3,12,default,64,intersection,1.0,1.0
gray,True,3,12,default,64,correlation,0.9666666666666668,0.9733333333333332
gray,True,3,12,default,64,bhattacharyya,1.0,1.0
gray,True,3,12,ror,1,intersection,0.1666666666666666,0.2455555555555555
gray,True,3,12,ror,1,correlation,0.2,0.2344444444444444
gray,True,3,12,ror,1,bhattacharyya,0.3333333333333333,0.3677777777777777
gray,True,3,12,ror,4,intersection,0.3666666666666666,0.4194444444444444
gray,True,3,12,ror,4,correlation,0.4,0.44
gray,True,3,12,ror,4,bhattacharyya,0.4,0.4805555555555555
gray,True,3,12,ror,16,intersection,0.6666666666666666,0.6944444444444444
gray,True,3,12,ror,16,correlation,0.6333333333333333,0.675
gray,True,3,12,ror,16,bhattacharyya,0.6666666666666666,0.6833333333333333
